,user_id,movie_id,rating,date
0,196,242,3,1997-12-04 15:55:49
1,186,302,3,1998-04-04 19:22:22
2,22,377,1,1997-11-07 07:18:36
3,244,51,2,1997-11-27 05:02:03
4,166,346,1,1998-02-02 05:33:16
5,298,474,4,1998-01-07 14:20:06
6,115,265,2,1997-12-03 17:51:28
7,253,465,5,1998-04-03 18:34:27
8,305,451,3,1998-02-01 09:20:17
9,6,86,3,1997-12-31 21:16:53
10,62,257,2,1997-11-12 22:07:14
11,286,1014,5,1997-11-17 15:38:45
12,200,222,5,1997-10-05 09:05:40
13,210,40,3,1998-03-27 21:59:54
14,224,29,3,1998-02-21 23:40:57
15,303,785,3,1997-11-14 05:28:38
16,122,387,5,1997-11-11 17:47:39
17,194,274,2,1997-11-14 20:36:34
18,291,1042,4,1997-09-21 09:42:24
19,234,1184,2,1998-04-08 23:47:17
20,119,392,4,1998-01-30 16:13:34
21,167,486,4,1998-04-16 14:54:12
22,299,144,4,1997-10-26 15:55:20
23,291,118,2,1997-09-21 09:24:38
24,308,1,4,1998-02-17 17:28:52
25,95,546,2,1997-11-10 21:16:06
26,38,95,5,1998-04-13 01:14:54
27,102,768,2,1998-01-02 13:40:50
28,63,277,4,1997-10-01 23:10:01
29,160,234,5,1997-10-14 20:33:05
30,50,246,3,1997-10-17 01:38:49
31,301,98,4,1997-12-14 05:03:47
32,225,193,4,1997-11-14 20:35:27
33,290,88,4,1997-11-28 15:46:03
34,97,194,3,1998-01-08 05:54:20
35,157,274,4,1998-02-07 22:33:55
36,181,1081,1,1997-11-08 04:17:03
37,278,603,5,1998-03-30 22:02:10
38,276,796,1,1997-09-20 21:45:32
39,7,32,4,1998-03-31 13:28:52
40,10,16,4,1997-10-26 18:01:17
41,284,304,4,1998-01-20 20:48:42
42,201,979,2,1998-01-06 19:17:13
43,276,564,3,1997-09-20 21:43:25
44,287,327,5,1997-09-27 04:18:36
45,246,201,5,1998-01-16 03:33:14
46,242,1137,5,1997-11-17 04:33:16
47,249,241,5,1997-11-16 00:46:34
48,99,4,5,1998-02-03 15:18:17
49,178,332,3,1997-12-22 20:43:57
50,251,100,4,1998-01-31 18:38:04
51,81,432,2,1997-10-11 01:58:51
52,260,322,4,1998-03-23 02:08:18
53,25,181,5,1998-01-26 22:23:35
54,59,196,5,1998-02-23 03:38:08
55,72,679,2,1997-11-20 14:46:04
56,87,384,4,1997-11-18 18:18:47
57,290,143,5,1997-11-25 16:11:33
58,42,423,5,1997-12-03 00:08:07
59,292,515,4,1997-12-02 23:06:17
60,115,20,3,1997-12-03 17:43:29
61,20,288,1,1997-11-16 08:06:24
62,201,219,4,1998-01-06 18:51:13
63,13,526,3,1997-12-14 23:10:53
64,246,919,4,1998-01-16 03:22:29
65,138,26,5,1997-11-08 21:23:52
66,167,232,1,1998-04-16 14:52:21
67,60,427,5,1997-12-28 16:30:20
68,57,304,5,1998-01-01 23:49:41
69,223,274,4,1998-04-02 20:48:14
70,189,512,4,1998-04-22 20:41:42
71,243,15,3,1997-11-20 00:57:20
72,92,1049,1,1998-03-18 20:10:26
73,246,416,3,1998-01-16 03:57:27
74,194,165,4,1997-11-14 22:32:03
75,241,690,2,1998-02-12 02:11:22
76,178,248,4,1997-12-22 20:52:34
77,254,1444,3,1998-02-03 03:12:38
78,293,5,3,1998-03-03 06:29:36
79,127,229,5,1998-01-09 16:54:27
80,225,237,5,1997-11-14 20:34:03
81,299,229,3,1997-10-30 06:20:29
82,225,480,5,1997-11-14 20:52:28
83,276,54,3,1997-09-20 21:30:25
84,291,144,5,1997-09-21 09:44:51
85,222,366,4,1997-10-30 03:49:41
86,267,518,5,1997-11-08 06:49:33
87,42,403,3,1997-12-03 00:24:44
88,11,111,4,1998-04-06 23:04:22
89,95,625,4,1998-03-03 19:46:52
90,8,338,4,1997-11-12 19:11:13
91,162,25,4,1997-10-23 19:39:33
92,87,1016,4,1997-11-18 18:03:14
93,279,154,5,1997-09-26 17:51:31
94,145,275,2,1998-01-23 12:11:45
95,119,1153,5,1997-09-20 18:46:38
96,62,498,4,1997-11-12 22:30:48
97,62,382,3,1997-11-12 22:58:57
98,28,209,4,1997-12-12 21:13:34
99,135,23,4,1997-11-18 12:56:05
100,32,294,3,1998-01-02 02:57:43
101,90,382,5,1998-03-31 22:37:15
102,286,208,4,1997-10-22 14:52:22
103,293,685,3,1998-03-03 06:06:10
104,216,144,4,1997-11-22 21:37:19
105,166,328,5,1998-02-02 05:35:22
106,250,496,4,1997-10-29 02:01:39
107,271,132,5,1998-01-26 21:04:32
108,160,174,5,1997-10-14 20:26:47
109,265,118,4,1997-09-27 00:38:34
110,198,498,3,1998-01-07 21:11:32
111,42,96,5,1997-12-02 23:59:38
112,168,151,5,1998-01-08 19:34:18
113,110,307,4,1998-02-09 01:21:00
